District,Soil_Type,Crop_Name,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Zn_kg_ha,S_kg_ha,Recommended_pH,Turbidity_NTU,Water_Temp_C,Weather,Fertilizer
Nagpur,Black,Cotton,114.8,51.6,41.3,3.9,28.9,7.1,12.0,31.3,Monsoon,NPK 19:19:19
Osmanabad,Black,Safflower,60.8,36.2,49.1,2.7,18.5,6.9,17.5,38.0,Dry,NPK 12:32:16
Satara,Black,Cotton,244.6,103.7,196.5,6.9,35.8,8.3,6.8,29.9,Post-Monsoon,Complex Fertilizer
Beed,Sandy,Bajra,120.6,53.5,59.7,2.4,21.4,6.7,11.2,38.0,Dry,Superphosphate
Bhandara,Red,Maize,34.4,78.1,56.3,2.7,15.3,6.3,5.1,28.8,Monsoon,Superphosphate
Dhule,Red,Cotton,141.6,61.3,50.9,2.9,25.1,6.1,10.2,33.9,Monsoon,Complex Fertilizer
Palghar,Sandy,Coconut,190.5,71.6,133.9,3.5,22.3,6.1,2.5,26.0,Heavy Rainfall,MOP
Dhule,Red,Cotton,121.2,58.8,52.5,2.6,16.0,6.6,5.3,29.0,Post-Monsoon,Complex Fertilizer
Palghar,Laterite,Vegetables,131.0,74.9,72.1,4.0,19.8,5.2,3.4,30.9,Heavy Rainfall,Urea
Satara,Alluvial,Vegetables,236.9,96.0,188.5,7.4,28.4,6.3,12.5,31.0,Winter,Complex Fertilizer
Nandurbar,Alluvial,Cotton,140.0,62.0,46.2,4.6,28.9,6.8,10.2,32.8,Moderate Rainfall,DAP
Palghar,Sandy,Vegetables,177.3,69.9,133.1,3.0,32.0,5.7,4.1,25.0,Post-Monsoon,NPK 12:32:16
Wardha,Black,Cotton,101.3,62.3,57.5,2.4,26.2,7.6,8.9,32.1,Monsoon,NPK 19:19:19
Buldhana,Clay,Cotton,105.2,61.1,55.7,3.2,17.5,7.7,6.1,26.7,Post-Monsoon,DAP
Beed,Black,Sorghum,122.9,40.0,78.3,4.1,23.1,7.9,14.6,33.7,Summer,Complex Fertilizer
Gadchiroli,Clay,Wheat,107.6,53.4,66.4,4.0,16.5,6.3,9.9,27.0,Winter,Urea
Raigad,Laterite,Rice,151.7,81.2,65.1,6.4,14.2,6.6,3.7,31.9,Humid,DAP
Sindhudurg,Sandy,Coconut,603.3,378.4,1411.9,10.9,25.6,6.1,6.4,28.6,Heavy Rainfall,Superphosphate
Satara,Alluvial,Wheat,249.7,59.4,155.0,10.8,29.1,7.2,12.2,30.6,Post-Monsoon,NPK 19:19:19
Beed,Black,Sorghum,138.2,49.2,40.1,2.8,22.0,7.8,9.2,33.0,Semi-Arid,NPK 19:19:19
Yavatmal,Clay,Soybean,151.8,50.6,36.6,4.8,21.4,7.1,5.7,29.0,Post-Monsoon,DAP
Mumbai Suburban,Laterite,Vegetables,158.4,79.5,60.2,3.7,11.3,5.5,6.0,27.7,Post-Monsoon,DAP
Satara,Black,Wheat,268.9,92.6,252.5,7.0,32.3,8.5,5.3,28.3,Post-Monsoon,Complex Fertilizer
Mumbai Suburban,Laterite,Vegetables,179.4,81.5,63.9,3.5,9.1,5.2,5.7,25.0,Post-Monsoon,DAP
Ahmednagar,Clay,Chickpea,112.4,42.0,65.5,4.3,18.0,8.2,13.1,32.6,Winter,Urea
Nanded,Alluvial,Cotton,130.9,39.3,36.7,4.6,27.5,6.9,10.5,32.2,Semi-Arid,Urea
Wardha,Clay,Wheat,114.9,69.6,63.0,4.4,16.7,7.7,5.9,25.0,Winter,DAP
Raigad,Laterite,Vegetables,880.9,625.1,1402.3,9.2,46.1,5.7,6.2,28.8,Post-Monsoon,DAP
Solapur,Black,Cotton,127.1,43.8,67.3,5.1,21.1,7.5,12.2,27.8,Semi-Arid,DAP
Nandurbar,Alluvial,Wheat,109.7,39.5,47.9,2.5,13.2,6.6,10.1,33.1,Winter,Urea
Kolhapur,Red,Soybean,107.3,66.9,52.9,3.8,17.2,6.5,6.6,31.6,Post-Monsoon,MOP
Sindhudurg,Sandy,Vegetables,708.1,444.3,1666.8,14.0,34.7,7.2,3.6,25.0,Humid,Organic Compost
Buldhana,Red,Cotton,140.6,70.4,50.3,4.4,16.7,6.0,11.3,36.6,Monsoon,NPK 19:19:19
Hingoli,Black,Cotton,69.4,51.2,55.0,3.9,18.3,7.4,15.9,33.6,Semi-Arid,Vermicompost
Chandrapur,Clay,Chickpea,113.3,40.2,48.4,5.8,20.1,7.0,2.6,30.9,Post-Monsoon,DAP
Sangli,Alluvial,Wheat,238.2,68.3,166.3,6.1,31.8,6.5,7.9,28.1,Winter,DAP
Mumbai Suburban,Sandy,Coconut,92.6,77.9,92.8,3.9,27.2,6.7,5.7,29.9,Humid,NPK 12:32:16
Aurangabad,Sandy,Bajra,184.3,59.2,52.6,4.5,25.4,6.0,10.6,37.3,Semi-Arid,Complex Fertilizer
Akola,Black,Wheat,90.0,35.5,70.7,3.2,20.0,8.5,3.9,30.5,Moderate Rainfall,DAP
Nagpur,Red,Cotton,121.7,56.9,53.0,2.9,28.4,5.1,10.9,28.7,Post-Monsoon,DAP
Mumbai Suburban,Sandy,Coconut,136.1,67.7,114.5,2.6,26.9,7.3,2.7,28.8,Heavy Rainfall,MOP
Ahmednagar,Clay,Cotton,237.0,98.9,166.9,6.3,42.2,6.8,2.7,33.1,Moderate Rainfall,Complex Fertilizer
Raigad,Laterite,Coconut,111.4,86.7,61.8,6.3,13.2,6.1,3.7,28.7,Humid,DAP
Ahmednagar,Clay,Sugarcane,214.5,79.2,154.8,5.9,33.3,7.0,3.3,31.6,Moderate Rainfall,Complex Fertilizer
Yavatmal,Clay,Rice,90.7,43.2,42.4,3.9,21.4,6.9,7.0,30.9,Monsoon,NPK 19:19:19
Jalgaon,Red,Vegetables,158.6,76.5,67.8,4.0,19.7,6.4,8.8,33.9,Winter,NPK 19:19:19
Amravati,Clay,Soybean,38.4,60.8,48.0,3.6,15.7,7.5,9.6,27.0,Post-Monsoon,DAP
Solapur,Black,Sorghum,130.9,60.7,50.4,4.6,18.9,7.5,9.9,25.4,Semi-Arid,DAP
Kolhapur,Black,Sugarcane,157.4,72.8,215.5,9.5,35.3,7.7,6.3,28.7,Moderate Rainfall,NPK 19:19:19
Sangli,Alluvial,Soybean,254.6,103.9,179.2,4.1,30.0,6.7,9.3,31.6,Moderate Rainfall,Urea
Nagpur,Clay,Rice,34.5,91.1,52.1,3.4,23.0,7.9,13.0,35.2,Monsoon,DAP
Thane,Laterite,Vegetables,128.3,84.6,74.9,3.0,15.9,6.9,6.7,27.5,Post-Monsoon,Urea
Bhandara,Black,Cotton,34.9,54.1,59.4,5.0,17.7,7.1,10.3,30.3,Moderate Rainfall,Superphosphate
Sangli,Red,Cotton,299.2,106.8,142.4,11.5,34.8,6.3,5.4,34.3,Post-Monsoon,NPK 19:19:19
Buldhana,Clay,Cotton,127.3,67.5,58.6,2.9,16.1,7.8,7.1,30.8,Post-Monsoon,DAP
Nandurbar,Red,Vegetables,110.0,87.1,40.7,3.9,19.8,5.6,3.5,26.2,Winter,Ammonium Sulphate
Washim,Clay,Cotton,146.2,34.2,42.9,4.7,17.7,7.6,10.0,28.9,Monsoon,DAP
Nandurbar,Red,Vegetables,137.0,115.6,37.6,4.2,24.6,6.2,3.8,25.0,Winter,Ammonium Sulphate
Solapur,Red,Vegetables,134.6,86.1,56.4,3.4,25.3,6.8,12.6,33.8,Winter,Complex Fertilizer
Mumbai City,Laterite,Rice,179.0,71.3,79.5,3.8,14.6,5.6,1.7,29.6,Humid,DAP
Ratnagiri,Sandy,Vegetables,110.9,58.7,66.3,4.5,11.3,6.3,3.5,26.2,Post-Monsoon,NPK 12:32:16
Latur,Sandy,Bajra,103.4,44.8,47.3,3.7,11.7,6.4,10.2,34.3,Dry,Organic Compost
Sindhudurg,Red,Rice,138.8,59.1,71.9,2.6,10.3,5.6,7.6,28.4,Humid,DAP
Bhandara,Red,Soybean,33.1,85.6,51.3,3.0,17.7,6.9,5.9,25.0,Monsoon,Superphosphate
Dhule,Red,Cotton,117.7,54.8,64.0,2.9,24.2,5.9,12.4,32.3,Monsoon,Complex Fertilizer
Chandrapur,Red,Soybean,117.8,60.9,62.9,4.5,13.2,5.6,7.8,28.5,Moderate Rainfall,NPK 12:32:16
Chandrapur,Clay,Wheat,114.2,50.0,51.3,4.0,15.4,6.7,6.4,31.2,Winter,DAP
Mumbai Suburban,Sandy,Coconut,132.8,79.0,104.5,3.2,27.0,6.8,3.3,25.0,Heavy Rainfall,MOP
Jalgaon,Alluvial,Vegetables,117.6,41.2,50.5,3.3,16.1,6.5,14.1,29.2,Winter,DAP
Nagpur,Clay,Chickpea,104.7,53.3,43.3,2.9,21.8,7.8,9.7,31.5,Winter,NPK 19:19:19
Mumbai Suburban,Laterite,Coconut,116.7,81.8,65.6,3.9,17.8,5.6,4.0,30.9,Humid,Urea
Chandrapur,Red,Cotton,117.8,69.0,46.9,5.2,16.0,5.5,7.1,32.0,Moderate Rainfall,NPK 12:32:16
Latur,Black,Sorghum,86.9,53.9,37.8,4.0,11.7,7.3,16.6,35.4,Semi-Arid,Superphosphate
Solapur,Red,Vegetables,173.8,56.1,50.5,2.8,19.5,6.8,11.2,28.5,Post-Monsoon,NPK 19:19:19
Ratnagiri,Sandy,Coconut,697.0,449.6,1440.2,9.1,29.0,7.0,5.8,27.4,Heavy Rainfall,Ammonium Sulphate
Mumbai City,Red,Mango,96.0,48.7,56.4,5.3,13.4,6.3,7.6,27.3,Monsoon,NPK 12:32:16
Nandurbar,Alluvial,Vegetables,102.2,36.0,63.1,2.6,13.0,7.2,9.3,28.7,Winter,Urea
Wardha,Clay,Cotton,109.3,32.1,59.1,4.2,20.1,7.5,5.6,33.1,Monsoon,DAP
Nagpur,Clay,Soybean,129.8,42.0,52.7,4.2,16.5,6.9,4.6,33.7,Post-Monsoon,Complex Fertilizer
Parbhani,Black,Safflower,86.4,41.6,63.2,4.6,20.7,8.1,8.1,35.3,Semi-Arid,Ammonium Sulphate
Chandrapur,Black,Soybean,100.5,40.3,46.8,2.8,16.0,7.7,6.7,32.2,Post-Monsoon,Complex Fertilizer
Sindhudurg,Red,Mango,119.2,74.7,48.3,3.9,18.1,5.6,8.4,31.9,Monsoon,NPK 12:32:16
Mumbai City,Sandy,Coconut,126.1,60.8,113.4,4.7,24.2,5.8,3.3,27.7,Monsoon,Vermicompost
Wardha,Clay,Wheat,116.6,52.4,36.6,3.0,23.4,7.8,8.8,27.8,Post-Monsoon,Complex Fertilizer
Jalgaon,Red,Cotton,223.2,139.0,321.2,7.1,37.9,7.1,7.5,32.7,Monsoon,DAP
Gondia,Black,Wheat,89.7,53.7,58.6,3.7,24.2,7.9,3.2,29.6,Moderate Rainfall,NPK 12:32:16
Jalna,Red,Cotton,134.6,72.5,71.9,3.6,15.9,6.7,10.0,33.3,Semi-Arid,Urea
Gondia,Black,Chickpea,25.1,77.6,60.7,4.2,16.1,6.7,12.7,27.8,Winter,Superphosphate
Washim,Clay,Rice,129.2,48.6,56.2,3.6,15.2,7.5,11.0,32.9,Monsoon,DAP
Amravati,Red,Cotton,36.5,88.1,41.1,4.2,16.9,7.0,9.0,34.4,Post-Monsoon,NPK 12:32:16
Hingoli,Black,Sorghum,76.7,44.1,64.7,3.5,20.9,7.4,11.3,33.2,Semi-Arid,Vermicompost
Raigad,Red,Rice,107.8,73.0,66.2,5.1,17.9,6.7,2.7,30.2,Heavy Rainfall,Urea
Buldhana,Clay,Cotton,43.1,69.5,42.9,5.2,18.8,7.4,8.4,28.4,Monsoon,NPK 12:32:16
Gondia,Clay,Soybean,106.6,47.8,57.7,4.6,16.7,6.8,6.1,29.3,Post-Monsoon,DAP
Raigad,Laterite,Coconut,127.0,86.7,54.2,6.6,13.9,6.2,3.6,29.5,Humid,DAP
Beed,Black,Chickpea,65.9,45.0,43.3,2.4,12.5,7.7,15.7,38.0,Post-Monsoon,Complex Fertilizer
Akola,Clay,Cotton,124.2,47.7,53.1,4.1,17.4,7.1,10.1,33.5,Moderate Rainfall,Urea
Chandrapur,Black,Soybean,99.4,44.0,45.8,3.0,20.7,7.8,8.4,31.5,Post-Monsoon,Complex Fertilizer
Gadchiroli,Black,Soybean,22.7,66.6,46.4,4.3,21.8,7.8,5.2,29.1,Post-Monsoon,NPK 12:32:16
Buldhana,Clay,Chickpea,129.1,49.9,54.3,3.0,14.7,7.8,5.2,30.0,Post-Monsoon,DAP
Nandurbar,Red,Cotton,108.5,61.4,55.8,4.6,19.1,6.6,10.2,33.7,Moderate Rainfall,DAP
Kolhapur,Red,Cotton,124.7,79.4,55.8,3.9,20.2,6.3,6.6,29.4,Post-Monsoon,MOP
Yavatmal,Black,Sorghum,122.3,36.0,53.2,4.9,19.6,8.4,10.3,34.1,Post-Monsoon,Complex Fertilizer
Palghar,Red,Vegetables,100.9,66.3,64.4,4.2,16.3,6.6,4.4,26.4,Heavy Rainfall,DAP
Palghar,Laterite,Rice,125.7,61.8,79.9,5.1,17.5,5.0,4.3,30.2,Heavy Rainfall,Urea
Kolhapur,Alluvial,Wheat,286.5,93.8,176.2,5.1,25.2,6.4,8.0,27.0,Winter,NPK 19:19:19
Sangli,Alluvial,Sugarcane,272.1,91.4,171.8,5.1,32.2,6.9,7.4,32.3,Moderate Rainfall,Urea
Chandrapur,Clay,Chickpea,116.9,48.4,44.0,4.4,15.4,6.6,8.5,29.3,Winter,DAP
Nandurbar,Alluvial,Sugarcane,152.9,61.2,39.9,4.4,21.8,6.6,10.0,28.6,Moderate Rainfall,DAP
Mumbai City,Sandy,Coconut,159.6,91.0,106.0,3.3,25.8,6.3,4.2,25.7,Heavy Rainfall,Ammonium Sulphate
Gondia,Red,Rice,141.9,70.3,74.9,5.1,10.5,5.5,10.1,33.6,Monsoon,NPK 12:32:16
Nanded,Black,Sorghum,104.4,38.4,51.6,5.1,10.7,7.1,20.3,36.7,Dry,Vermicompost
Ratnagiri,Laterite,Rice,119.5,78.1,63.9,5.9,12.5,5.1,6.5,27.5,Monsoon,NPK 12:32:16
Washim,Clay,Cotton,112.0,41.6,51.8,4.7,18.4,7.7,10.8,33.2,Monsoon,DAP
Dhule,Black,Chickpea,94.3,53.1,40.9,2.7,29.8,7.6,8.3,33.8,Winter,NPK 19:19:19
Nagpur,Black,Cotton,91.0,45.2,74.2,4.9,21.7,7.0,2.7,25.0,Moderate Rainfall,NPK 19:19:19
Gondia,Black,Soybean,122.3,70.8,53.7,5.1,26.5,8.2,10.0,31.4,Monsoon,Urea
Osmanabad,Black,Sorghum,86.0,47.7,37.9,3.1,12.4,7.2,14.4,33.9,Summer,Superphosphate
Mumbai Suburban,Laterite,Cashew,141.6,57.7,70.7,5.9,13.4,6.7,4.1,27.1,Heavy Rainfall,NPK 12:32:16
Beed,Black,Sorghum,72.9,43.1,52.2,3.1,14.7,8.3,21.3,36.7,Post-Monsoon,Complex Fertilizer
Sindhudurg,Sandy,Vegetables,689.0,410.1,1664.1,15.0,40.1,6.7,6.5,30.0,Post-Monsoon,Superphosphate
Akola,Black,Wheat,115.0,59.9,51.2,2.8,17.6,8.2,10.6,25.0,Winter,Urea
Chandrapur,Clay,Chickpea,128.2,57.3,46.4,5.4,19.4,6.6,3.3,32.7,Post-Monsoon,DAP
Gondia,Clay,Cotton,121.3,44.3,62.7,3.6,15.6,7.6,8.0,29.7,Moderate Rainfall,DAP
Nagpur,Black,Cotton,74.9,37.7,69.0,4.9,21.9,7.6,3.4,26.6,Moderate Rainfall,NPK 19:19:19
Gadchiroli,Red,Cotton,143.1,75.2,66.8,3.2,16.9,6.7,4.1,26.3,Moderate Rainfall,NPK 12:32:16
Jalgaon,Alluvial,Vegetables,115.3,37.8,48.7,3.5,14.3,6.5,12.1,32.9,Winter,DAP
Palghar,Sandy,Vegetables,168.5,64.3,107.7,2.8,25.0,5.8,2.4,28.0,Heavy Rainfall,MOP
Thane,Laterite,Coconut,109.6,57.6,73.9,3.8,23.1,5.1,8.0,25.0,Humid,Urea
Mumbai Suburban,Red,Vegetables,107.5,75.5,52.4,3.0,10.0,6.8,4.8,29.1,Post-Monsoon,Urea
Mumbai Suburban,Sandy,Coconut,152.5,61.1,119.1,3.1,30.8,6.6,3.3,25.6,Heavy Rainfall,MOP
Ratnagiri,Laterite,Rice,157.2,83.4,65.4,4.8,12.9,6.0,5.7,31.2,Heavy Rainfall,DAP
Mumbai City,Red,Rice,105.2,54.5,74.9,5.3,9.1,6.7,2.1,27.5,Humid,DAP
Solapur,Black,Wheat,80.7,56.7,55.1,4.3,17.6,8.4,10.4,31.7,Moderate Rainfall,DAP
Kolhapur,Black,Grapes,207.7,88.7,153.7,8.7,30.3,7.7,5.1,28.0,Winter,Complex Fertilizer
Pune,Alluvial,Sugarcane,313.2,84.6,146.3,9.5,35.4,6.7,8.8,30.4,Moderate Rainfall,Complex Fertilizer
Thane,Laterite,Rice,134.7,61.7,71.4,2.4,13.8,5.8,6.3,25.0,Monsoon,Urea
Kolhapur,Black,Cotton,259.8,79.9,217.1,6.2,31.0,8.3,3.4,29.7,Post-Monsoon,DAP
Amravati,Black,Chickpea,40.7,80.6,43.2,3.5,23.0,7.7,8.9,33.5,Winter,Superphosphate
Mumbai City,Red,Mango,113.6,51.3,58.2,5.2,14.6,6.3,7.5,26.0,Monsoon,NPK 12:32:16
Osmanabad,Black,Sorghum,71.0,37.6,59.0,5.2,12.0,7.9,12.2,35.5,Post-Monsoon,Ammonium Sulphate
Jalgaon,Alluvial,Cotton,107.2,68.5,53.3,2.5,17.5,6.4,3.6,34.1,Monsoon,NPK 19:19:19
Jalgaon,Alluvial,Sugarcane,123.7,56.8,57.0,4.3,24.8,6.8,6.2,35.4,Moderate Rainfall,DAP
Thane,Red,Vegetables,113.8,72.4,57.9,4.4,19.8,7.0,2.6,28.9,Post-Monsoon,DAP
Washim,Red,Soybean,267.3,142.9,238.5,8.5,26.8,5.8,8.3,30.9,Post-Monsoon,Complex Fertilizer
Satara,Alluvial,Cotton,218.5,62.6,166.8,11.7,31.3,7.2,10.9,34.0,Post-Monsoon,NPK 19:19:19
Gadchiroli,Red,Soybean,97.2,65.5,60.3,3.4,19.6,6.4,6.0,29.6,Post-Monsoon,DAP
Mumbai Suburban,Laterite,Rice,137.1,63.0,65.2,4.8,12.7,6.0,3.3,31.1,Monsoon,Urea
Nashik,Black,Onion,116.2,70.0,81.6,3.2,23.2,7.4,6.7,31.1,Winter,DAP
Bhandara,Clay,Cotton,140.8,56.4,48.8,5.3,17.6,7.0,5.8,33.0,Monsoon,NPK 12:32:16
Washim,Clay,Soybean,110.4,39.4,59.2,3.0,23.8,7.5,8.7,29.9,Post-Monsoon,Urea
