District,Soil_Type,Crop_Name,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Zn_kg_ha,S_kg_ha,Recommended_pH,Turbidity_NTU,Water_Temp_C,Weather,Fertilizer
Buldhana,Clay,Bajra,76.7,33.8,36.1,3.43,13.5,6.9,9.6,32.4,Monsoon,Vermicompost
Buldhana,Black,Wheat,109.3,48.8,63.4,4.43,17.3,7.7,3.9,33.4,Monsoon,DAP
Sindhudurg,Red,Rice,116.5,73.2,59.8,3.61,16.1,5.9,7.5,31.7,Monsoon,NPK 12:32:16
Solapur,Black,Sorghum,74.9,41.1,52.6,4.57,18.0,8.1,7.9,30.9,Moderate Rainfall,MOP
Nanded,Black,Soybean,30.2,55.6,49.7,4.82,19.7,7.6,10.6,36.8,Semi-Arid,NPK 12:32:16
Thane,Red,Rice,109.2,57.1,51.8,4.94,17.4,6.7,5.7,27.7,Heavy Rainfall,DAP
Sindhudurg,Laterite,Mango,153.3,73.8,138.8,11.11,22.3,5.3,3.7,31.4,Humid,DAP
Nashik,Alluvial,Tomato,156.2,87.5,137.4,5.15,24.6,6.8,3.1,27.6,Moderate Rainfall,NPK 12:32:16
Buldhana,Black,Cotton,114.9,38.7,47.6,4.81,25.1,7.6,11.7,32.2,Post-Monsoon,NPK 19:19:19
Mumbai Suburban,Red,Vegetables,127.7,99.0,106.0,3.34,22.5,5.6,7.5,26.6,Post-Monsoon,DAP
Parbhani,Black,Cotton,88.1,44.0,45.1,3.33,24.8,8.0,9.1,36.8,Summer,Urea
Washim,Black,Cotton,102.6,39.2,48.3,2.43,23.7,7.7,3.7,29.1,Moderate Rainfall,NPK 19:19:19
Latur,Black,Pigeon Pea,25.0,52.9,34.6,4.72,15.2,7.9,8.3,29.6,Summer,Organic Compost
Raigad,Laterite,Rice,133.1,76.7,66.8,4.73,19.2,5.8,7.6,30.1,Heavy Rainfall,Urea
Chandrapur,Red,Soybean,39.9,80.5,49.1,2.7,20.0,6.5,8.9,34.0,Moderate Rainfall,NPK 12:32:16
Washim,Black,Soybean,32.4,65.5,45.1,3.76,20.9,8.4,3.3,28.3,Monsoon,DAP
Washim,Black,Soybean,31.5,60.5,52.2,2.56,20.9,8.0,8.5,31.8,Winter,Superphosphate
Nashik,Black,Onion,141.2,81.3,97.8,3.87,27.5,7.3,6.4,32.7,Moderate Rainfall,Urea
Ratnagiri,Sandy,Mango,219.6,62.0,152.5,8.75,22.6,6.3,5.9,31.9,Heavy Rainfall,Urea
Pune,Black,Wheat,98.9,57.4,65.7,3.45,17.2,8.5,6.0,29.9,Moderate Rainfall,Urea
Dhule,Alluvial,Wheat,108.9,52.5,52.4,4.17,21.7,7.5,6.0,27.9,Moderate Rainfall,Urea
Akola,Black,Wheat,96.0,59.3,53.4,4.18,20.8,8.5,3.4,27.1,Monsoon,Urea
Nandurbar,Black,Sorghum,78.1,45.7,56.6,4.52,12.5,7.7,8.5,27.8,Moderate Rainfall,Superphosphate
Ratnagiri,Sandy,Mango,159.7,73.1,128.0,9.65,31.4,6.9,3.6,29.7,Monsoon,Superphosphate
Latur,Black,Cotton,132.3,37.2,67.0,5.4,23.6,7.1,8.1,29.2,Dry,Urea
Bhandara,Black,Wheat,116.5,52.6,63.1,5.14,17.5,7.7,10.6,27.3,Post-Monsoon,Urea
Nanded,Black,Cotton,96.8,43.6,47.4,3.01,21.6,8.3,14.4,28.6,Summer,DAP
Wardha,Clay,Pulses,20.5,50.0,31.2,5.43,21.3,7.5,10.4,27.4,Winter,NPK 12:32:16
Wardha,Black,Cotton,114.9,61.1,60.8,2.52,25.2,7.8,9.3,29.5,Monsoon,NPK 19:19:19
Washim,Black,Soybean,29.3,65.7,50.9,2.48,20.8,7.1,11.2,28.9,Monsoon,NPK 12:32:16
Nandurbar,Black,Cotton,111.9,52.7,57.6,2.9,17.9,7.0,10.2,32.3,Post-Monsoon,Urea
Solapur,Red,Chickpea,22.6,47.3,30.5,5.12,19.5,6.1,11.8,30.3,Post-Monsoon,Urea
Sangli,Black,Sugarcane,214.9,104.2,205.1,6.82,27.7,7.5,11.4,34.7,Moderate Rainfall,Complex Fertilizer
Solapur,Black,Bajra,58.8,34.9,36.6,5.41,15.4,7.1,7.8,32.8,Semi-Arid,NPK 12:32:16
Ahmednagar,Black,Sorghum,77.7,43.6,54.3,2.48,17.8,7.9,5.1,30.8,Moderate Rainfall,NPK 12:32:16
Ratnagiri,Laterite,Rice,140.8,80.8,69.5,5.32,12.5,5.0,7.3,25.7,Monsoon,NPK 12:32:16
Wardha,Black,Pulses,25.9,50.2,30.0,3.96,22.7,7.2,3.2,31.0,Post-Monsoon,Urea
Bhandara,Red,Wheat,127.5,74.9,64.1,4.13,13.6,6.9,6.9,31.1,Post-Monsoon,DAP
Ahmednagar,Red,Sugarcane,222.8,127.6,170.3,7.87,36.5,6.7,9.7,26.0,Post-Monsoon,NPK 19:19:19
Solapur,Black,Sorghum,86.1,38.3,58.5,3.41,10.9,8.0,12.0,32.9,Post-Monsoon,Organic Compost
Kolhapur,Black,Sorghum,86.7,41.2,43.7,2.87,17.4,8.4,8.2,34.4,Winter,DAP
Sangli,Red,Sugarcane,260.8,131.2,175.6,9.99,33.1,6.6,5.8,31.4,Post-Monsoon,NPK 19:19:19
Raigad,Sandy,Rice,135.8,57.3,68.7,4.47,10.3,6.5,4.9,29.2,Humid,Urea
Beed,Black,Wheat,95.7,57.3,58.5,4.41,20.8,8.1,17.6,30.6,Dry,NPK 12:32:16
Jalna,Black,Sorghum,89.6,39.5,50.8,3.47,16.7,7.9,16.5,31.5,Summer,DAP
Nashik,Black,Wheat,89.0,52.6,58.6,3.68,24.7,8.4,8.9,32.1,Post-Monsoon,Urea
Pune,Black,Bajra,57.6,37.7,46.6,4.38,14.4,7.6,4.1,34.2,Winter,DAP
Akola,Black,Cotton,137.7,60.2,61.6,2.85,18.1,8.5,11.3,27.1,Winter,Urea
Amravati,Black,Sorghum,82.8,51.3,55.3,3.88,14.0,7.5,9.4,33.5,Winter,Organic Compost
Solapur,Black,Wheat,93.8,52.5,58.9,4.16,22.7,8.0,5.2,32.8,Winter,NPK 12:32:16
Nandurbar,Black,Sorghum,67.6,43.0,41.6,4.32,13.0,8.1,10.1,29.9,Moderate Rainfall,Superphosphate
Yavatmal,Red,Cotton,158.5,62.8,42.9,5.51,18.8,5.8,9.3,28.6,Moderate Rainfall,DAP
Latur,Black,Sorghum,79.3,39.6,57.1,2.96,14.0,8.3,9.4,33.3,Post-Monsoon,Superphosphate
Pune,Black,Sugarcane,191.5,105.4,191.9,6.14,26.3,7.4,3.4,34.9,Moderate Rainfall,DAP
Gadchiroli,Black,Pigeon Pea,22.9,60.3,37.0,5.46,18.2,7.8,7.0,29.4,Winter,MOP
Sindhudurg,Laterite,Rice,146.8,82.4,68.9,4.5,21.9,5.8,7.4,25.3,Humid,DAP
Jalgaon,Black,Cotton,142.8,55.4,54.6,2.97,23.5,7.1,6.2,32.4,Moderate Rainfall,NPK 19:19:19
Gadchiroli,Black,Rice,102.4,49.2,66.9,4.13,11.0,7.7,9.3,27.4,Winter,NPK 12:32:16
Kolhapur,Alluvial,Wheat,98.8,40.6,63.0,3.65,25.9,6.7,10.6,31.8,Moderate Rainfall,DAP
Raigad,Laterite,Coconut,627.2,406.9,1644.0,13.79,34.0,6.4,3.2,30.4,Monsoon,Urea
Yavatmal,Black,Pigeon Pea,26.3,53.9,27.6,3.33,20.5,7.6,3.4,30.8,Post-Monsoon,NPK 12:32:16
Gadchiroli,Black,Pigeon Pea,26.0,59.5,29.5,3.22,18.1,7.8,8.8,31.6,Post-Monsoon,DAP
Sangli,Red,Sorghum,107.7,55.1,44.8,3.63,18.2,6.1,10.8,29.9,Winter,Urea
Gondia,Red,Rice,123.7,59.1,63.4,5.38,10.8,5.8,11.2,31.3,Monsoon,NPK 12:32:16
Solapur,Red,Wheat,120.8,65.1,64.5,5.2,18.0,5.8,10.8,34.6,Semi-Arid,DAP
Nanded,Alluvial,Sorghum,88.2,37.6,47.0,3.6,18.8,7.0,15.7,37.2,Dry,Ammonium Sulphate
Chandrapur,Clay,Soybean,35.8,83.1,44.3,2.84,24.8,6.8,11.4,31.6,Winter,NPK 12:32:16
Aurangabad,Red,Bajra,86.0,42.0,40.7,4.1,12.4,6.9,10.0,34.8,Semi-Arid,Complex Fertilizer
Chandrapur,Red,Cotton,137.5,62.5,57.4,5.76,22.9,7.0,7.8,31.4,Monsoon,NPK 19:19:19
Gadchiroli,Red,Soybean,33.0,93.4,53.0,2.97,20.0,6.8,6.6,33.9,Monsoon,NPK 12:32:16
Ahmednagar,Red,Wheat,118.3,67.7,57.8,3.9,24.9,5.6,5.5,27.5,Pre-Monsoon,NPK 12:32:16
Sindhudurg,Sandy,Rice,138.9,54.2,74.7,3.39,20.9,6.7,3.5,29.1,Post-Monsoon,DAP
Parbhani,Sandy,Bajra,81.3,42.3,40.0,5.31,14.6,6.1,15.7,36.9,Semi-Arid,MOP
Wardha,Black,Sorghum,74.8,44.9,43.8,3.99,18.1,8.4,4.6,31.2,Monsoon,NPK 12:32:16
Palghar,Laterite,Vegetables,187.8,87.8,94.1,2.85,32.9,5.6,7.8,29.8,Post-Monsoon,Complex Fertilizer
Osmanabad,Black,Sorghum,77.8,43.6,53.6,5.69,13.0,7.8,10.9,35.0,Post-Monsoon,Ammonium Sulphate
Nashik,Black,Sorghum,78.0,46.3,49.6,3.45,12.5,7.5,6.0,30.8,Moderate Rainfall,Organic Compost
Ahmednagar,Red,Maize,135.4,70.0,48.3,3.14,16.7,6.6,11.4,30.4,Winter,NPK 12:32:16
Thane,Laterite,Finger Millet,86.0,48.8,34.9,4.14,13.7,5.7,6.5,27.4,Heavy Rainfall,Organic Compost
Pune,Black,Sugarcane,198.5,107.0,182.8,6.98,39.1,7.4,11.5,27.9,Post-Monsoon,Urea
Nagpur,Clay,Soybean,38.0,60.9,44.5,4.31,20.0,7.0,9.0,34.4,Post-Monsoon,DAP
Jalgaon,Black,Banana,179.3,146.9,275.4,10.55,27.7,8.4,7.4,27.8,Post-Monsoon,Urea
Thane,Red,Rice,110.3,68.1,58.3,3.75,15.2,6.6,5.3,25.9,Monsoon,NPK 12:32:16
Solapur,Black,Sorghum,83.5,50.8,44.5,4.3,15.1,7.5,7.3,29.7,Semi-Arid,Superphosphate
Hingoli,Red,Pigeon Pea,26.6,68.7,32.9,4.91,18.1,6.5,11.7,34.6,Summer,Ammonium Sulphate
Thane,Laterite,Rice,161.3,78.0,71.2,5.07,15.0,6.1,5.3,28.2,Heavy Rainfall,NPK 12:32:16
Solapur,Black,Sorghum,80.4,42.3,50.2,3.9,19.8,7.5,8.9,28.4,Moderate Rainfall,Superphosphate
Pune,Red,Sorghum,83.6,51.9,48.9,4.63,12.7,5.9,11.6,31.0,Post-Monsoon,Superphosphate
Latur,Black,Bajra,60.0,28.8,33.9,3.44,11.3,8.1,19.7,35.6,Post-Monsoon,MOP
Ratnagiri,Laterite,Rice,161.0,66.5,64.3,3.12,14.1,5.6,5.5,28.2,Monsoon,Urea
Sindhudurg,Red,Rice,124.7,69.2,59.4,2.97,20.8,5.6,7.4,30.7,Heavy Rainfall,DAP
Jalna,Black,Sorghum,84.0,48.1,43.8,4.35,10.7,7.3,15.2,30.3,Semi-Arid,Organic Compost
Nanded,Black,Soybean,33.5,67.6,48.7,2.74,20.9,8.2,13.9,37.6,Summer,Superphosphate
Nanded,Black,Soybean,30.3,80.3,45.2,2.49,23.7,8.2,17.6,32.0,Post-Monsoon,NPK 12:32:16
Bhandara,Red,Rice,115.5,66.7,55.2,3.09,15.6,6.5,7.1,28.9,Winter,Urea
Dhule,Black,Wheat,115.5,48.9,68.6,3.25,21.2,7.2,4.5,28.8,Moderate Rainfall,NPK 12:32:16
Latur,Black,Cotton,111.1,43.7,46.7,3.22,29.1,7.4,9.0,32.4,Semi-Arid,NPK 19:19:19
Pune,Black,Sugarcane,201.9,95.8,237.6,6.99,29.9,7.0,11.8,28.5,Winter,NPK 19:19:19
Latur,Black,Cotton,115.8,59.0,56.1,5.02,28.9,8.4,20.0,35.6,Semi-Arid,NPK 19:19:19
Thane,Laterite,Vegetables,128.4,89.3,103.0,2.89,30.1,6.1,4.3,26.7,Monsoon,Vermicompost
Osmanabad,Black,Sorghum,68.2,44.0,50.4,3.58,15.6,7.3,18.3,32.1,Post-Monsoon,Vermicompost
Gondia,Black,Rice,94.0,46.6,55.1,3.38,14.4,8.2,10.5,32.6,Monsoon,DAP
Thane,Laterite,Rice,124.9,72.2,64.2,2.8,12.5,5.6,5.6,26.9,Monsoon,Urea
Gondia,Red,Soybean,34.9,75.0,47.4,5.19,17.6,6.8,10.6,33.2,Monsoon,NPK 12:32:16
Kolhapur,Black,Sugarcane,178.8,87.4,230.3,10.53,35.0,7.6,6.3,27.7,Moderate Rainfall,NPK 19:19:19
Raigad,Laterite,Coconut,790.7,445.5,1661.2,6.48,27.0,5.3,6.7,30.5,Monsoon,Ammonium Sulphate
Akola,Clay,Sorghum,93.3,51.0,38.7,3.64,11.9,7.9,8.6,34.8,Post-Monsoon,NPK 12:32:16
Thane,Laterite,Coconut,579.6,525.8,1451.5,10.87,23.2,6.4,6.4,27.5,Heavy Rainfall,Complex Fertilizer
Mumbai City,Laterite,Vegetables,181.0,95.6,117.7,4.22,31.2,5.9,5.6,25.4,Monsoon,NPK 12:32:16
Nandurbar,Alluvial,Cotton,140.2,52.1,53.1,3.13,14.0,7.4,8.8,32.6,Post-Monsoon,NPK 19:19:19
Solapur,Black,Wheat,112.3,51.5,61.3,5.22,22.2,7.2,11.9,27.8,Semi-Arid,DAP
Yavatmal,Black,Cotton,109.3,42.6,50.8,2.93,24.9,8.4,8.4,33.2,Winter,Complex Fertilizer
Ratnagiri,Red,Mango,121.8,83.8,170.2,9.32,33.8,6.4,5.0,29.2,Post-Monsoon,Organic Compost
Ahmednagar,Clay,Wheat,96.1,56.5,49.9,5.14,18.8,6.8,4.7,31.9,Moderate Rainfall,Urea
Satara,Black,Sorghum,87.2,44.7,49.0,3.51,11.7,8.0,10.0,34.4,Moderate Rainfall,Superphosphate
Pune,Black,Wheat,91.0,58.4,61.7,4.14,16.5,7.9,11.7,26.8,Pre-Monsoon,NPK 12:32:16
Palghar,Laterite,Coconut,721.4,410.5,1703.0,12.33,25.1,5.8,6.9,31.6,Humid,Vermicompost
Palghar,Laterite,Rice,135.0,68.5,66.8,3.91,13.2,6.3,5.6,29.9,Heavy Rainfall,DAP
Buldhana,Black,Wheat,100.5,51.2,63.6,3.59,19.1,8.1,8.1,32.0,Post-Monsoon,Urea
Nandurbar,Black,Sorghum,72.7,47.2,48.1,3.54,14.3,8.1,11.4,26.6,Winter,Organic Compost
Aurangabad,Sandy,Sorghum,103.3,46.9,60.4,2.63,13.2,6.5,19.4,36.6,Semi-Arid,Ammonium Sulphate
Nanded,Black,Soybean,36.8,75.1,55.8,4.17,23.2,8.4,13.0,36.6,Post-Monsoon,NPK 12:32:16
Dhule,Black,Cotton,95.6,50.9,42.2,3.15,26.0,7.7,7.5,34.8,Winter,NPK 19:19:19
Wardha,Black,Pulses,23.0,41.8,43.8,3.43,16.2,7.1,4.2,27.2,Post-Monsoon,MOP
Osmanabad,Black,Sorghum,81.8,43.2,51.6,2.45,20.4,8.3,12.0,37.3,Semi-Arid,Organic Compost
Gadchiroli,Clay,Wheat,123.5,61.4,60.0,4.05,15.4,6.6,10.8,32.9,Moderate Rainfall,Urea
Latur,Red,Sorghum,87.9,57.3,51.1,5.07,10.8,6.2,12.5,34.9,Dry,Ammonium Sulphate
Solapur,Red,Sorghum,103.1,50.4,54.1,2.51,12.2,6.9,3.1,32.4,Semi-Arid,Vermicompost
Raigad,Sandy,Rice,132.5,58.6,65.0,3.41,20.6,7.0,2.5,27.9,Monsoon,NPK 12:32:16
Sangli,Alluvial,Grapes,114.5,54.4,136.8,8.87,22.8,7.0,6.1,31.9,Winter,NPK 19:19:19
Buldhana,Clay,Soybean,29.9,79.5,39.4,4.71,21.5,6.6,10.2,27.2,Post-Monsoon,NPK 12:32:16
Raigad,Laterite,Rice,121.0,74.6,65.4,4.2,9.4,6.1,4.2,25.3,Monsoon,Urea
Dhule,Black,Cotton,101.1,55.9,60.2,3.63,20.9,8.3,11.5,26.8,Monsoon,Urea
Washim,Black,Soybean,29.0,75.8,43.8,5.6,18.7,7.6,9.1,26.5,Moderate Rainfall,DAP
Gondia,Red,Rice,128.2,63.6,59.1,2.74,14.3,6.7,10.0,30.3,Monsoon,NPK 12:32:16
Washim,Black,Soybean,32.3,63.2,50.5,3.54,24.1,7.3,4.2,34.3,Moderate Rainfall,Superphosphate
Nashik,Black,Grapes,102.0,66.2,123.5,7.4,22.5,8.0,3.2,34.3,Post-Monsoon,NPK 19:19:19
Aurangabad,Black,Bajra,61.0,31.2,39.3,3.45,14.1,7.2,14.9,34.8,Dry,Superphosphate
Sindhudurg,Laterite,Coconut,755.3,429.1,1541.1,12.82,33.4,6.1,7.6,29.8,Monsoon,Superphosphate
Wardha,Black,Pomegranate,103.0,56.1,96.9,7.54,30.7,8.1,9.6,26.3,Monsoon,Vermicompost
Ratnagiri,Laterite,Coconut,690.2,514.3,1493.7,11.47,37.8,5.1,7.3,30.8,Monsoon,Urea
Gadchiroli,Black,Soybean,24.9,57.8,45.6,3.85,25.3,7.9,4.4,30.6,Post-Monsoon,NPK 12:32:16
Beed,Black,Wheat,103.6,56.5,57.2,5.68,23.8,7.0,8.1,28.7,Post-Monsoon,Urea
Jalgaon,Red,Wheat,107.2,65.9,63.4,4.29,24.2,5.9,10.7,29.8,Moderate Rainfall,Urea
Thane,Laterite,Rice,130.5,70.8,65.3,4.06,11.5,5.4,7.0,28.8,Monsoon,DAP
Bhandara,Black,Rice,92.8,54.7,65.5,3.69,18.1,7.0,3.1,30.1,Monsoon,Urea
Ahmednagar,Black,Sorghum,69.9,45.4,50.8,4.65,17.6,7.1,9.9,30.4,Winter,DAP
Palghar,Laterite,Rice,124.6,77.5,63.7,4.41,14.2,6.0,3.7,26.7,Heavy Rainfall,NPK 12:32:16
Solapur,Black,Wheat,113.7,51.4,55.9,5.73,18.9,8.2,8.8,29.5,Post-Monsoon,DAP
Palghar,Sandy,Vegetables,167.4,76.1,112.9,3.21,30.1,6.0,3.8,25.0,Post-Monsoon,NPK 12:32:16
Dhule,Black,Wheat,106.7,61.7,62.2,3.98,18.3,7.5,9.7,32.1,Moderate Rainfall,NPK 12:32:16
Palghar,Laterite,Rice,134.5,77.7,67.3,3.67,18.3,5.0,4.0,30.6,Monsoon,Urea
Wardha,Black,Sorghum,91.7,41.7,53.4,3.31,15.9,8.4,7.5,29.1,Post-Monsoon,MOP
Solapur,Red,Wheat,126.8,63.6,57.5,4.63,17.7,6.0,10.5,34.0,Winter,Urea
Sangli,Red,Turmeric,164.4,83.0,95.3,4.96,31.1,6.8,3.0,26.3,Winter,Ammonium Sulphate
Mumbai Suburban,Red,Rice,121.1,64.6,64.9,3.09,9.2,6.5,4.8,30.7,Post-Monsoon,Urea
Beed,Red,Sorghum,91.9,54.3,54.7,5.44,20.6,6.0,17.4,30.1,Summer,Ammonium Sulphate
Nashik,Black,Sorghum,83.6,43.0,47.4,4.63,19.5,7.9,11.5,33.7,Post-Monsoon,Urea
Hingoli,Black,Bajra,61.7,33.9,40.3,3.95,12.5,7.4,8.4,32.2,Post-Monsoon,Complex Fertilizer
Pune,Red,Sugarcane,260.8,108.3,206.5,10.14,38.4,5.6,4.8,32.7,Winter,DAP
Solapur,Black,Sorghum,78.3,45.5,52.1,4.5,13.4,7.4,3.8,27.6,Winter,DAP
Buldhana,Black,Sorghum,86.1,40.1,48.8,3.13,15.7,8.4,10.5,26.6,Moderate Rainfall,NPK 12:32:16
Solapur,Black,Wheat,92.8,52.9,52.8,4.77,26.4,7.7,9.9,27.4,Post-Monsoon,Urea
Parbhani,Black,Sorghum,78.2,42.9,45.5,4.02,15.4,7.7,8.1,31.8,Summer,Organic Compost
Nashik,Black,Grapes,99.6,61.6,149.1,6.07,33.9,8.1,6.4,29.0,Winter,NPK 19:19:19
Sindhudurg,Laterite,Rice,132.9,83.9,75.1,4.63,13.0,5.7,5.7,29.8,Humid,Urea
Ahmednagar,Clay,Sorghum,75.6,44.7,48.0,2.64,14.3,6.9,10.8,31.9,Pre-Monsoon,DAP
Gondia,Black,Wheat,94.3,59.9,57.2,2.31,16.2,7.2,11.7,29.2,Winter,NPK 12:32:16
Solapur,Black,Maize,136.8,72.1,57.2,5.42,16.7,7.5,4.4,33.9,Moderate Rainfall,Complex Fertilizer
